host_type,censored,duration_months,high_rev_freq,multi_repo,high_author_count
git,1,58,True,False,True
git,1,34,False,False,True
git,1,109,True,False,True
git,1,78,True,False,True
git,1,12,False,False,False
git,0,16,False,False,False
git,1,134,False,True,True
git,1,29,False,False,False
git,1,76,False,False,True
git,1,25,False,False,False
git,1,5,True,False,True
git,1,23,False,False,False
git,0,27,False,False,True
git,1,5,False,False,False
git,1,56,False,False,True
git,1,8,False,False,False
git,1,6,False,False,False
git,1,119,False,True,True
git,0,8,True,False,False
git,0,116,True,False,True
git,1,168,False,False,True
git,1,17,False,False,False
pypi,0,12,False,False,False
pypi,1,94,False,False,False
