origin,type,censored
https://github.com/1adrianb/face-alignment,git,0
https://github.com/NVIDIA/vid2vid,git,0
https://gitlab.com/crowdcontrol/crowdcontrol.git,git,1
deb://Debian/packages/wxglade,deb,1
https://pypi.org/project/debugpy/,pypi,1
https://pypi.org/project/lime/,pypi,1
https://gitlab.com/ezdoo/odoo_ezdoo.git,git,0
https://pypi.org/project/sh/,pypi,1
https://pypi.org/project/distribute/,pypi,0
deb://Debian/packages/python-dogpile.cache,deb,1
https://pypi.org/project/Rx/,pypi,1
https://pypi.org/project/Send2Trash/,pypi,0
deb://Debian/packages/tryton-modules-sale-opportunity,deb,1
deb://Debian/packages/tryton-modules-product,deb,1
https://github.com/misterch0c/shadowbroker,git,0
https://gitlab.com/foundry-in-a-box/fib.git,git,0
https://pypi.org/project/oslo.i18n/,pypi,1
https://pypi.org/project/Unidecode/,pypi,0
https://pypi.org/project/futures/,pypi,0
deb://Debian/packages/lilypond,deb,1
deb://Debian/packages/tryton-server,deb,1
deb://Debian/packages/alacarte,deb,1
https://pypi.org/project/ephem/,pypi,1
https://pypi.org/project/pbr/,pypi,1
https://pypi.org/project/async-timeout/,pypi,1
https://pypi.org/project/setuptools-scm/,pypi,1
https://pypi.org/project/iso8601/,pypi,0
https://pypi.org/project/user-agents/,pypi,1
deb://Debian/packages/pylint,deb,1
https://pypi.org/project/numba/,pypi,1
deb://Debian/packages/tryton-modules-analytic-purchase,deb,1
https://gitlab.com/osechet/pythontools.git,git,0
deb://Debian/packages/pyosmium,deb,1
https://pypi.org/project/cachetools/,pypi,1
deb://Debian/packages/tryton-modules-account-asset,deb,1
https://pypi.org/project/lz4/,pypi,0
https://pypi.org/project/beautifulsoup4/,pypi,1
https://pypi.org/project/html5lib/,pypi,1
https://pypi.org/project/murmurhash/,pypi,0
https://pypi.org/project/pg8000/,pypi,1
https://pypi.org/project/networkx/,pypi,1
https://github.com/iGhibli/iOS-DeviceSupport,git,1
https://github.com/detailyang/awesome-cheatsheet,git,0
deb://Debian/packages/unattended-upgrades,deb,1
https://pypi.org/project/curlify/,pypi,0
deb://Debian/packages/glances,deb,1
https://github.com/commaai/research,git,0
https://pypi.org/project/azure-mgmt-sql/,pypi,1
deb://Debian/packages/dot2tex,deb,1
deb://Debian/packages/subversion,deb,1
deb://Debian/packages/monajat,deb,0
https://pypi.org/project/statsd/,pypi,0
deb://Debian/packages/mftrace,deb,1
deb://Debian/packages/python-fuse,deb,1
https://pypi.org/project/sortedcontainers/,pypi,1
https://pypi.org/project/pyperclip/,pypi,1
https://pypi.org/project/idna/,pypi,1
